Date,Team,Acquired,Relinquished,Notes,Injury Category
2010-10-03,Bulls,,Carlos Boozer,pinky finger,finger
2010-10-06,Pistons,,Jonas Jerebko,achilles,leg
2010-10-06,Pistons,,Terrico White,foot,foot
2010-10-08,Blazers,,Jeff Ayres,knee,knee
2010-10-08,Nets,,Troy Murphy,lower back,back
2010-10-08,Pistons,,Jonas Jerebko,achilles,leg
2010-10-08,Pistons,,Terrico White,foot,foot
2010-10-09,Nuggets,,Al Harrington,foot,foot
2010-10-12,Bucks,,Darington Hobson,hip,hip
2010-10-12,Kings,,Samuel Dalembert,groin,groin
2010-10-17,Bobcats,,Dominic McGuire,shin,leg
2010-10-18,Warriors,,Lou Amundson,index finger,finger
2010-10-19,Suns,,Josh Childress,index finger,finger
2010-10-22,Heat,,Mike Miller,thumb,finger
2010-10-25,Thunder,,Nick Collison,knee,knee
2010-10-25,Timberwolves,,Martell Webster,back,back
2010-10-26,Heat,,Mario Chalmers,ankle,ankle
2010-10-27,Bucks,,Jon Brockman,ankle,ankle
2010-10-27,Bucks,,Luc Mbah a Moute,ankle,ankle
2010-10-28,Grizzlies,,Zach Randolph,back,back
2010-10-28,Hawks,,Maurice Evans,knee,knee
2010-10-28,Spurs,,Matt Bonner,ankle,ankle
2010-10-29,Pistons,,Will Bynum,hamstring,leg
2010-10-30,Pistons,,Will Bynum,hamstring,leg
2010-11-02,Pistons,,Richard Hamilton,foot,foot
2010-11-02,Pistons,,Will Bynum,hamstring,leg
2010-11-03,Hawks,,Jamal Crawford,toe,toe
2010-11-03,Jazz,,Jeremy Evans,wrist,wrist
2010-11-03,Jazz,,Kyrylo Fesenko,stomach,abdomen
2010-11-03,Nuggets,,Nene Hilario ,groin,groin
2010-11-03,Pistons,,Richard Hamilton,foot,foot
2010-11-03,Pistons,,Will Bynum,hamstring,leg
2010-11-03,Warriors,,Brandan Wright,stomach,abdomen
2010-11-04,Blazers,,Elliot Williams,knee cap,knee
2010-11-05,Bucks,,Andrew Bogut,head,face
2010-11-05,Hawks,,Marvin Williams,knee,knee
2010-11-05,Jazz,,Jeremy Evans,ankle,ankle
2010-11-05,Nuggets,,Nene Hilario ,groin,groin
2010-11-06,Blazers,,Rudy Fernandez,back,back
2010-11-06,Nuggets,,Nene Hilario ,groin,groin
2010-11-06,Raptors,,Sonny Weems,ankle,ankle
2010-11-07,Hawks,,Marvin Williams,knee,knee
2010-11-08,Hawks,,Marvin Williams,knee,knee
2010-11-08,Magic,,Mickael Pietrus,ankle,ankle
2010-11-09,Bucks,,Carlos Delfino,neck,neck
2010-11-10,Bucks,,Carlos Delfino,neck,neck
2010-11-10,Clippers,,Chris Kaman,ankle,ankle
2010-11-10,Hawks,,Marvin Williams,knee,knee
2010-11-10,Raptors,,David Andersen,ankle,ankle
2010-11-10,Timberwolves,,Wayne Ellington,thigh,leg
2010-11-10,Clippers,,Eric Gordon,shoulder,shoulder
2010-11-11,Celtics,,Jermaine O'Neal,knee,knee
2010-11-11,Rockets,,Yao Ming,ankle,ankle
2010-11-11,Spurs,,James Anderson,foot,foot
2010-11-12,Warriors,,David Lee,elbow,arm
2010-11-12,Clippers,,Randy Foye,hamstring,leg
2010-11-13,Bucks,,Carlos Delfino,neck,neck
2010-11-13,Celtics,,Jermaine O'Neal,knee,knee
2010-11-14,Rockets,,Chase Budinger,ankle,ankle
2010-11-14,Timberwolves,,Nikola Pekovic,ankle,ankle
2010-11-14,Timberwolves,,Wayne Ellington,thigh,leg
2010-11-15,Clippers,,Randy Foye,hamstring,leg
2010-11-15,Jazz,,Raja Bell,abductor,groin
2010-11-15,Timberwolves,,Nikola Pekovic,foot,foot
2010-11-15,Timberwolves,,Wayne Ellington,thigh,leg
2010-11-16,Blazers,,Brandon Roy,knee,knee
2010-11-16,Bucks,,Carlos Delfino,neck,neck
2010-11-17,Clippers,,Randy Foye,hamstring,leg
2010-11-17,Jazz,,Kyrylo Fesenko,head,face
2010-11-17,Rockets,,Chase Budinger,ankle,ankle
2010-11-18,Blazers,,Brandon Roy,knee,knee
2010-11-18,Magic,,Jason Williams,foot,foot
2010-11-19,Blazers,,Greg Oden,knee,knee
2010-11-19,Bucks,,Carlos Delfino,neck,neck
2010-11-19,Heat,,Juwan Howard,nose,face
2010-11-19,Knicks,,Timofey Mozgov,calf,leg
2010-11-19,Warriors,,Brandan Wright,back,back
2010-11-20,Blazers,,Brandon Roy,knee,knee
2010-11-20,Bucks,,Carlos Delfino,neck,neck
2010-11-20,Suns,,Steve Nash,groin,groin
2010-11-21,Wizards,,John Wall ,foot,foot
2010-11-22,Hornets,,Marcus Thornton ,ankle,ankle
2010-11-22,Warriors,,Brandan Wright,lower back,back
2010-11-23,Heat,,Udonis Haslem,foot,foot
2010-11-24,Bucks,,Andrew Bogut,back,back
2010-11-24,Bucks,,Carlos Delfino,neck,neck
2010-11-24,Bulls,,Taj Gibson,ankle,ankle
2010-11-24,Celtics,,Delonte West,wrist,wrist
2010-11-24,Warriors,,Brandan Wright,lower back,back
2010-11-26,Bucks,,Andrew Bogut,back,back
2010-11-26,Bucks,,Carlos Delfino,neck,neck
2010-11-26,Raptors,,Reggie Evans,foot,foot
2010-11-26,Warriors,,Brandan Wright,lower back,back
2010-11-27,Bucks,,Andrew Bogut,back,back
2010-11-27,Bucks,,Corey Maggette,ankle,ankle
2010-11-27,Bucks,,Drew Gooden,foot,foot
2010-11-27,Wizards,,John Wall ,knee,knee
2010-11-28,Blazers,,Sean Marks,ankle,ankle
2010-11-28,Clippers,,Randy Foye,hamstring,leg
2010-11-28,Knicks,,Toney Douglas,quadriceps,leg
2010-11-28,Lakers,,Devin Ebanks,intestines,internal
2010-11-28,Raptors,,Peja Stojakovic,knee,knee
2010-11-28,Raptors,,Reggie Evans,foot,foot
2010-11-29,Bucks,,Andrew Bogut,back,back
2010-11-29,Bucks,,Corey Maggette,ankle,ankle
2010-11-29,Bucks,,Drew Gooden,foot,foot
2010-11-29,Wizards,,John Wall ,knee,knee
2010-11-30,Celtics,,Delonte West,wrist,wrist
2010-11-30,Knicks,Toney Douglas,,ankle,ankle
2010-12-01,Bucks,,Andrew Bogut,back,back
2010-12-01,Raptors,,Peja Stojakovic,knee,knee
2010-12-02,Hawks,,Joe Johnson,elbow,arm
2010-12-03,Hornets,,David West,stomach,abdomen
2010-12-03,Magic,,Dwight Howard,stomach,abdomen
2010-12-03,Magic,,Jameer Nelson,stomach,abdomen
2010-12-03,Raptors,,Peja Stojakovic,knee,knee
2010-12-03,Magic,,J.J. Redick,stomach,abdomen
2010-12-04,Magic,,Dwight Howard,stomach,abdomen
2010-12-04,Magic,,J.J. Redick,stomach,abdomen
2010-12-04,Magic,,Jameer Nelson,stomach,abdomen
2010-12-04,Magic,,Ryan Anderson,foot,foot
2010-12-04,Timberwolves,,Michael Beasley,ankle,ankle
2010-12-05,Celtics,,Rajon Rondo,hamstring,leg
2010-12-05,Raptors,,Peja Stojakovic,knee,knee
2010-12-05,Thunder,,D.J. White,ankle,ankle
2010-12-05,Warriors,,Rodney Carney,foot,foot
2010-12-06,Magic,,Jameer Nelson,stomach,abdomen
2010-12-06,Bucks,,Drew Gooden,foot,foot
2010-12-08,Jazz,,Kyrylo Fesenko,ankle,ankle
2010-12-08,Nuggets,,Carmelo Anthony,knee,knee
2010-12-08,Raptors,,Peja Stojakovic,knee,knee
2010-12-08,Timberwolves,,Darko Milicic,quadriceps,leg
2010-12-08,Wizards,,John Wall ,foot,foot
2010-12-09,Celtics,,Shaquille O'Neal,calf knee,knee
2010-12-10,Bobcats,,Tyrus Thomas,quadriceps,leg
2010-12-10,Hawks,,Zaza Pachulia,ankle,ankle
2010-12-10,Jazz,,Raja Bell,groin,groin
2010-12-10,Raptors,,Jose Calderon,foot,foot
2010-12-10,Thunder,,Nenad Krstic,back,back
2010-12-10,Warriors,,Stephen Curry,ankle,ankle
2010-12-11,Cavaliers,,Ryan Hollins,stomach,abdomen
2010-12-11,Jazz,,Kyrylo Fesenko,ankle,ankle
2010-12-11,Jazz,,Raja Bell,abductor,groin
2010-12-11,Nuggets,,Carmelo Anthony,knee,knee
2010-12-11,Raptors,,Peja Stojakovic,knee,knee
2010-12-12,Magic,,Chris Duhon,back,back
2010-12-13,Grizzlies,Hamed Haddadi,,ankle,ankle
2010-12-13,Jazz,,Raja Bell,abductor,groin
2010-12-13,Nets,,Damion James,foot,foot
2010-12-14,Kings,,Tyreke Evans,foot,foot
2010-12-14,Magic,,Mickael Pietrus,knee,knee
2010-12-14,Magic,,Quentin Richardson,elbow,arm
2010-12-14,Nuggets,,Chauncey Billups,wrist,wrist
2010-12-14,Raptors,,Peja Stojakovic,knee,knee
2010-12-15,Bucks,,John Salmons,back,back
2010-12-15,Bulls,,Joakim Noah,thumb,finger
2010-12-15,Celtics,,Shaquille O'Neal,calf,leg
2010-12-15,Raptors,,Andrea Bargnani,knee,knee
2010-12-15,Raptors,,Peja Stojakovic,knee,knee
2010-12-15,Wizards,,Jianlian Yi,knee,knee
2010-12-16,Bulls,,Joakim Noah,thumb,finger
2010-12-16,Celtics,,Rajon Rondo,ankle,ankle
2010-12-16,Celtics,,Shaquille O'Neal,calf,leg
2010-12-16,Nets,,Anthony Morrow,hamstring,leg
2010-12-16,Nuggets,,Chauncey Billups,wrist,wrist
2010-12-16,Rockets,,Yao Ming,ankle,ankle
2010-12-16,Spurs,,Tiago Splitter,adductor,groin
2010-12-16,Wizards,,John Wallace,knee,knee
2010-12-17,Blazers,,Brandon Roy,knee,knee
2010-12-17,Raptors,,Sonny Weems,lower back,back
2010-12-18,Blazers,,Brandon Roy,knee,knee
2010-12-18,Blazers,,Marcus Camby,shoulder,shoulder
2010-12-18,Blazers,,Nicolas Batum,shoulder,shoulder
2010-12-18,Nuggets,,Chauncey Billups,wrist,wrist
2010-12-18,Spurs,,George Hill,toe,toe
2010-12-19,Celtics,,Rajon Rondo,ankle,ankle
2010-12-19,Nets,,Quinton Ross,back,back
2010-12-19,Pistons,,Richard Hamilton,stomach,abdomen
2010-12-19,Pistons,,Rodney Stuckey,big toe,toe
2010-12-19,Raptors,,Andrea Bargnani,ankle,ankle
2010-12-19,Raptors,,Sonny Weems,back,back
2010-12-20,Blazers,,Brandon Roy,knee,knee
2010-12-20,Blazers,,Marcus Camby,shoulder,shoulder
2010-12-20,Clippers,,Craig Smith,back,back
2010-12-20,Spurs,,George Hill,toe,toe
2010-12-20,Warriors,,Dan Gadzuric,groin,groin
2010-12-20,Bucks,,Carlos Delfino,head,face
2010-12-21,Bucks,,Carlos Delfino,head,face
2010-12-21,Bucks,,Drew Gooden,foot,foot
2010-12-21,Magic,,Malik Allen,ankle,ankle
2010-12-21,Nets,,Quinton Ross,lower back,back
2010-12-21,Warriors,,Dan Gadzuric,groin,groin
2010-12-22,Celtics,,Rajon Rondo,ankle,ankle
2010-12-22,Nets,,Quinton Ross,lower back,back
2010-12-22,Raptors,,Sonny Weems,back,back
2010-12-22,Spurs,,George Hill,toe,toe
2010-12-23,Bucks,,Carlos Delfino,head,face
2010-12-23,Bucks,,Drew Gooden,foot,foot
2010-12-23,Magic,,Daniel Orton,knee,knee
2010-12-23,Spurs,,George Hill,toe,toe
2010-12-25,Blazers,,Brandon Roy,knee,knee
2010-12-25,Celtics,,Semih Erden,stomach,abdomen
2010-12-25,Magic,,Jason Williams,foot,foot
2010-12-27,76ers,,Andre Iguodala,achilles,leg
2010-12-27,Blazers,,Brandon Roy,knee,knee
2010-12-27,Bucks,,Drew Gooden,foot,foot
2010-12-27,Magic,,Jason Williams,foot,foot
2010-12-27,Raptors,,Sonny Weems,back,back
2010-12-28,Blazers,,Brandon Roy,knee,knee
2010-12-28,Blazers,,Marcus Camby,ankle,ankle
2010-12-28,Bucks,,Drew Gooden,foot,foot
2010-12-28,Magic,,Jason Williams,foot,foot
2010-12-28,Raptors,,Jose Calderon,ankle,ankle
2010-12-28,Raptors,,Sonny Weems,back,back
2010-12-29,Cavaliers,,Mo Williams,hip flexor,hip
2010-12-29,Celtics,,Semih Erden,respiratory,lungs
2010-12-29,Nuggets,,Kenyon Martin,knee,knee
2010-12-29,Nuggets,,Nene Hilario ,hamstring,leg
2010-12-30,Jazz,,C.J. Miles,ankle,ankle
2010-12-30,Jazz,,Mehmet Okur,back,back
2010-12-30,Magic,,Jason Williams,foot,foot
