Date,Team,Acquired,Relinquished,Notes
2010-10-03,Bulls,,Carlos Boozer,Pinky Finger
2010-10-06,Pistons,,Jonas Jerebko,Achilles
2010-10-06,Pistons,,Terrico White,Foot
2010-10-08,Blazers,,Jeff Ayres,Knee
2010-10-08,Nets,,Troy Murphy,Lower back
2010-10-08,Pistons,,Jonas Jerebko,Achilles
2010-10-08,Pistons,,Terrico White,Foot
2010-10-09,Nuggets,,Al Harrington,Foot
2010-10-12,Bucks,,Darington Hobson,Hip
2010-10-12,Kings,,Samuel Dalembert,Groin
2010-10-17,Bobcats,,Dominic McGuire,Shin
2010-10-18,Warriors,,Lou Amundson,Index Finger
2010-10-19,Suns,,Josh Childress,Index Finger
2010-10-22,Heat,,Mike Miller,Thumb
2010-10-25,Thunder,,Nick Collison,Knee
2010-10-25,Timberwolves,,Martell Webster,Back
2010-10-26,Heat,,Mario Chalmers,Ankle
2010-10-27,Bucks,,Jon Brockman,Ankle
2010-10-27,Bucks,,Luc Mbah a Moute,Ankle
2010-10-28,Grizzlies,,Zach Randolph,Back
2010-10-28,Hawks,,Maurice Evans,Knee
2010-10-28,Spurs,,Matt Bonner,Ankle
2010-10-29,Pistons,,Will Bynum,Hamstring
2010-10-30,Pistons,,Will Bynum,Hamstring
2010-11-02,Pistons,,Richard Hamilton,Foot
2010-11-02,Pistons,,Will Bynum,Hamstring
2010-11-03,Hawks,,Jamal Crawford,Toe
2010-11-03,Jazz,,Jeremy Evans,Wrist
2010-11-03,Jazz,,Kyrylo Fesenko,Stomach
2010-11-03,Nuggets,,Nene Hilario ,Groin
2010-11-03,Pistons,,Richard Hamilton,Foot
2010-11-03,Pistons,,Will Bynum,Hamstring
2010-11-03,Warriors,,Brandan Wright,Stomach
2010-11-04,Blazers,,Elliot Williams,Knee cap
2010-11-05,Bucks,,Andrew Bogut,Head
2010-11-05,Hawks,,Marvin Williams,Knee
2010-11-05,Jazz,,Jeremy Evans,Ankle
2010-11-05,Nuggets,,Nene Hilario ,Groin
2010-11-06,Blazers,,Rudy Fernandez,Back
2010-11-06,Nuggets,,Nene Hilario ,Groin
2010-11-06,Raptors,,Sonny Weems,Ankle
2010-11-07,Hawks,,Marvin Williams,Knee
2010-11-08,Hawks,,Marvin Williams,Knee
