Date,Team,Acquired,Relinquished,Notes
2010-10-03,Bulls,,Carlos Boozer,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-06,Pistons,,Jonas Jerebko,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-06,Pistons,,Terrico White,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-08,Blazers,,Jeff Ayres,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-08,Nets,,Troy Murphy,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-08,Pistons,,Jonas Jerebko,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-08,Pistons,,Terrico White,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-09,Nuggets,,Al Harrington,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-12,Bucks,,Darington Hobson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-12,Kings,,Samuel Dalembert,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-17,Bobcats,,Dominic McGuire,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-18,Warriors,,Lou Amundson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-19,Suns,,Josh Childress,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-22,Heat,,Mike Miller,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-25,Thunder,,Nick Collison,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-25,Timberwolves,,Martell Webster,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Blazers,,Elliot Williams,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Blazers,,Greg Oden,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Blazers,,Joel Przybilla,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Celtics,,Avery Bradley,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Celtics,,Kendrick Perkins,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Celtics,,Luke Harangody,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Heat,,Dexter Pittman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Heat,,Jerry Stackhouse,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Heat,,Mario Chalmers,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Heat,,Mike Miller,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Lakers,,Andrew Bynum,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Lakers,,Luke Walton,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Rockets,,Jermaine Taylor,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Rockets,,Kyle Lowry,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Rockets,,Patrick Patterson,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Suns,,Gani Lawal,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-26,Suns,,Matt Janning,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,76ers,,Craig Brackins,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,76ers,,Jodie Meeks,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Bobcats,,Dominic McGuire,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Bobcats,,Eduardo Najera,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Bobcats,,Kwame Brown,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Bucks,,Chris Douglas-Roberts,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
2010-10-27,Bucks,,Jon Brockman,"Error extracting injury location: model ""llama2"" not found, try pulling it first (status code: 404)"
